Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,Elements,difference_threshold,normalization_vector,target_threshold,Accuracy,Loss,Weighted accuracy,Weighted f1,Weighted precision,Weighted recall,fn,fp,tn,tp
2024-09-02 10:48:38,74ms,35f988b798ce44a0a940c2fcbdb21af8,victorious-quail-408,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Mg (%),1.0,[1.75 3.5  3.5  7.   3.75 3.5 ],100.0,0.7804,846.8658104701644,0.7195,0.1657,0.0964,0.5916,67,680,2584,70
2024-09-02 10:48:34,79ms,338770364c8d499ea7108eb016c17ffc,sincere-yak-768,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Mg (%),2.0,[0.5 1.  1.  2.  2.5 1. ],100.0,0.8724,216.57573009238791,0.8102,0.1637,0.1042,0.3816,99,335,2929,38
2024-09-02 10:48:33,74ms,2b9b30ac8fc44d0f87e2e3845165735d,resilient-yak-8,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Mg (%),1.5,[1 2 2 4 3 2],100.0,0.751,638.3964087485843,0.6707,0.1463,0.0835,0.5874,70,777,2487,67
2024-09-02 10:48:35,77ms,63b48052cea3416597d1270cd89ae819,marvelous-sloth-115,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Mg (%),1.0,[2 4 4 8 4 4],100.0,0.6892,1222.9279392336518,0.6202,0.146,0.0816,0.6931,52,1005,2259,85
2024-09-02 10:48:37,72ms,3453fe8047e4442c804b597eaa3aa7b6,lyrical-boar-559,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Mg (%),1.5,[0.5  1.   1.   2.5  2.25 1.  ],100.0,0.9456,87.18652704814953,0.924,0.1453,0.1622,0.1316,125,60,3204,12
2024-09-02 10:48:39,72ms,40f0d1bdbb8943a58b4e4ec2519c857c,resilient-mare-811,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Mg (%),2.0,[0.75 1.5  1.5  3.   2.5  1.5 ],100.0,0.7051,583.7010897041112,0.607,0.1354,0.0758,0.6339,65,938,2326,72
2024-09-02 10:48:37,75ms,473dd4285e9740758c6706860e334a29,luxuriant-worm-606,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Mg (%),2.5,[0.5  1.   1.   2.5  2.25 1.  ],100.0,0.7336,418.6938621331604,0.622,0.1309,0.0738,0.58,75,831,2433,62
2024-09-02 10:48:37,68ms,adc623d2cad9449987f8168b6549e357,smiling-hog-235,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Mg (%),1.5,[0.5  1.   1.   2.5  2.25 1.  ],45.0,0.8312,212.6993266608575,0.7999,0.1295,0.3738,0.0783,529,45,2800,27
2024-09-02 10:48:35,73ms,fca07c43bdeb41d384dd71d9fbe17a8a,amazing-shark-996,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Mg (%),0.5,[2 4 4 8 4 4],100.0,0.9415,270.2050941988199,0.925,0.1264,0.139,0.1158,125,74,3190,12
2024-09-02 10:48:34,72ms,ad682dab62144979ab7890bb10b5d03c,unequaled-fowl-775,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Mg (%),2.5,[0.5 1.  1.  2.  2.5 1. ],100.0,0.7298,423.4571388939392,0.6172,0.1253,0.0705,0.5634,77,842,2422,60
